k,donor,assay,prefix,train_rows,train_unique,dev_rows,dev_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,dev_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
4,enc001,EP300,enc001_EP300,1537,1423,192,191,10,193.0,0.8461139896373057,0.15544041450777202,0.9430051813471503,0.11979166666666667,0.0741704619388419,4.6
4,enc002,EP300,enc002_EP300,124,115,16,16,10,16.0,0.8375,0.0625,1.0,0.0,0.07258064516129033,0.0
4,enc003,EP300,enc003_EP300,68,67,9,9,10,9.0,0.8,0.0,1.0,0.1111111111111111,0.014705882352941176,0.0
4,enc004,EP300,enc004_EP300,564,528,71,70,10,71.0,0.8253521126760562,0.16901408450704225,0.9436619718309859,0.14084507042253522,0.06382978723404255,0.9
4,enc001,H3K27ac,enc001_H3K27ac,8822,6019,1103,977,10,1103.0,0.8921124206708976,0.4369900271985494,0.9519492293744334,0.40797824116047143,0.31772840625708454,49.9
4,enc002,H3K27ac,enc002_H3K27ac,6315,4421,789,698,10,790.0,0.8859493670886076,0.4,0.9455696202531646,0.3612167300380228,0.29992082343626286,28.4
4,enc003,H3K27ac,enc003_H3K27ac,8312,5285,1039,879,10,1039.0,0.8965351299326274,0.47256977863330124,0.9557266602502407,0.4542829643888354,0.36417228103946103,49.8
4,enc004,H3K27ac,enc004_H3K27ac,8876,5394,1110,910,10,1110.0,0.902882882882883,0.4864864864864865,0.9612612612612612,0.4918918918918919,0.39229382604776925,55.4
4,enc001,H3K27me3,enc001_H3K27me3,1670,1170,209,190,10,209.0,0.8813397129186601,0.3827751196172249,0.9665071770334929,0.40669856459330145,0.2994011976047904,5.6
4,enc002,H3K27me3,enc002_H3K27me3,478,455,60,57,10,60.0,0.8383333333333333,0.1,0.9833333333333333,0.15,0.04811715481171548,0.1
4,enc003,H3K27me3,enc003_H3K27me3,502,388,63,60,10,63.0,0.8698412698412697,0.36507936507936506,0.9841269841269841,0.31746031746031744,0.22709163346613545,1.8
4,enc004,H3K27me3,enc004_H3K27me3,468,368,59,57,10,59.0,0.8677966101694915,0.3728813559322034,0.9830508474576272,0.3389830508474576,0.21367521367521367,0.4
4,enc001,H3K36me3,enc001_H3K36me3,212,182,27,27,10,27.0,0.8444444444444444,0.2962962962962963,0.9629629629629629,0.3333333333333333,0.14150943396226415,0.0
4,enc002,H3K36me3,enc002_H3K36me3,166,154,21,21,10,21.0,0.8285714285714285,0.14285714285714285,1.0,0.19047619047619047,0.07228915662650602,0.0
4,enc003,H3K36me3,enc003_H3K36me3,12,12,2,2,10,2.0,0.7,0.0,1.0,0.0,0.0,0.0
4,enc004,H3K36me3,enc004_H3K36me3,1190,779,149,136,10,149.0,0.8899328859060402,0.42953020134228187,0.9664429530201343,0.3959731543624161,0.3453781512605042,2.4
4,enc001,H3K4me1,enc001_H3K4me1,2632,1892,329,310,10,329.0,0.8844984802431611,0.3829787234042553,0.9513677811550152,0.3191489361702128,0.2811550151975684,2.5
4,enc002,H3K4me1,enc002_H3K4me1,947,803,118,111,10,119.0,0.8521008403361344,0.25210084033613445,0.957983193277311,0.288135593220339,0.15205913410770855,1.0
4,enc003,H3K4me1,enc003_H3K4me1,32,32,4,4,10,4.0,0.8,0.0,1.0,0.0,0.0,0.0
4,enc004,H3K4me1,enc004_H3K4me1,1945,1352,243,226,10,244.0,0.8836065573770492,0.4262295081967213,0.9549180327868853,0.37037037037037035,0.30488431876606686,3.8
4,enc001,H3K4me3,enc001_H3K4me3,8315,4644,1039,870,10,1040.0,0.9192307692307692,0.5653846153846154,0.9778846153846154,0.563041385948027,0.44149128081779915,71.6
4,enc002,H3K4me3,enc002_H3K4me3,5443,3227,680,567,10,681.0,0.9071953010279001,0.5036710719530103,0.9618208516886931,0.5397058823529411,0.4071284218261988,32.2
4,enc003,H3K4me3,enc003_H3K4me3,12046,7303,1506,1238,10,1506.0,0.9110225763612219,0.5391766268260292,0.9581673306772909,0.5239043824701195,0.39374066080026565,109.5
4,enc004,H3K4me3,enc004_H3K4me3,9300,4988,1163,933,10,1163.0,0.9233877901977644,0.6027515047291487,0.9681857265692175,0.5967325881341359,0.46365591397849465,91.6
4,enc001,H3K9me3,enc001_H3K9me3,283,215,35,32,10,36.0,0.8861111111111111,0.4166666666666667,0.9722222222222222,0.3142857142857143,0.24028268551236748,0.6
4,enc002,H3K9me3,enc002_H3K9me3,126,116,16,16,10,16.0,0.8125,0.1875,1.0,0.1875,0.07936507936507936,0.0
4,enc003,H3K9me3,enc003_H3K9me3,145,114,18,17,10,19.0,0.8789473684210526,0.3684210526315789,0.9473684210526315,0.2777777777777778,0.21379310344827587,0.0
4,enc004,H3K9me3,enc004_H3K9me3,145,116,18,18,10,19.0,0.8421052631578949,0.21052631578947367,1.0,0.3333333333333333,0.2,0.7
4,enc001,POLR2A,enc001_POLR2A,2694,2261,337,327,10,337.0,0.8557863501483679,0.23738872403560832,0.9436201780415431,0.26706231454005935,0.1607275426874536,15.2
