k,assay,train_indiv,train_rows,train_unique,val_rows,val_unique,n_test_files,test_rows_mean,test_leaked_frac_mean,test_leaked_frac_min,test_leaked_frac_max,val_leaked_frac,train_within_dup_frac,label_conflict_seqs_in_test_mean
4,H3K36me3,2,166,154,21,21,11,21.0,0.7662337662337663,0.14285714285714285,1.0,0.19047619047619047,0.07228915662650602,0.0
4,H3K36me3,3,12,12,2,2,11,2.0,0.6363636363636364,0.0,1.0,0.0,0.0,0.0
4,H3K36me3,4,1190,779,149,136,11,149.0,0.8480780964002441,0.42953020134228187,0.9664429530201343,0.3959731543624161,0.3453781512605042,2.3636363636363638
4,H3K4me1,1,2632,1892,329,310,11,329.0,0.838905775075988,0.3829787234042553,0.9513677811550152,0.3191489361702128,0.2811550151975684,2.5454545454545454
4,H3K4me1,2,947,803,118,111,11,119.0,0.79755538579068,0.25210084033613445,0.957983193277311,0.288135593220339,0.15205913410770855,1.0
4,H3K4me1,3,32,32,4,4,11,4.0,0.7272727272727273,0.0,1.0,0.0,0.0,0.0
4,H3K4me1,4,1945,1352,243,226,11,244.0,0.842026825633383,0.4262295081967213,0.9549180327868853,0.37037037037037035,0.30488431876606686,3.8181818181818183
4,H3K4me3,1,8315,4644,1039,870,11,1040.0,0.887062937062937,0.5653846153846154,0.9778846153846154,0.563041385948027,0.44149128081779915,70.63636363636364
4,H3K4me3,2,5443,3227,680,567,11,681.0,0.8705112802029102,0.5036710719530103,0.9618208516886931,0.5397058823529411,0.4071284218261988,32.27272727272727
4,H3K4me3,3,12046,7303,1506,1238,11,1506.0,0.8772183991307497,0.5391766268260292,0.9581673306772909,0.5239043824701195,0.39374066080026565,109.18181818181819
4,H3K4me3,4,9300,4988,1163,933,11,1163.0,0.8942390369733448,0.6027515047291487,0.9681857265692175,0.5967325881341359,0.46365591397849465,90.36363636363636
4,H3K9me3,1,283,215,35,32,11,36.0,0.8434343434343433,0.4166666666666667,0.9722222222222222,0.3142857142857143,0.24028268551236748,0.6363636363636364
4,H3K9me3,2,126,116,16,16,11,16.0,0.7556818181818182,0.1875,1.0,0.1875,0.07936507936507936,0.0
4,H3K9me3,3,145,114,18,17,11,19.0,0.832535885167464,0.3684210526315789,0.9473684210526315,0.2777777777777778,0.21379310344827587,0.0
4,H3K9me3,4,145,116,18,18,11,19.0,0.784688995215311,0.21052631578947367,1.0,0.3333333333333333,0.2,0.7272727272727273
4,POLR2A,1,2694,2261,337,327,11,337.0,0.7995683841381171,0.23738872403560832,0.9436201780415431,0.26706231454005935,0.1607275426874536,15.454545454545455
4,POLR2A,2,2744,2257,343,328,11,343.0,0.8218923933209649,0.3236151603498542,0.9533527696793003,0.3206997084548105,0.17747813411078717,22.636363636363637
4,POLR2A,3,3739,2554,467,414,11,468.0,0.8587801087801087,0.46153846153846156,0.9636752136752137,0.4197002141327623,0.3169296603369885,28.0
4,POLR2A,4,4624,3360,578,538,11,578.0,0.8497955331865367,0.4204152249134948,0.9550173010380623,0.35813148788927335,0.27335640138408307,49.72727272727273
4,POLR2AphosphoS5,1,5952,4945,744,724,11,744.0,0.8200146627565984,0.30376344086021506,0.9502688172043011,0.28225806451612906,0.16918682795698925,48.81818181818182
4,POLR2AphosphoS5,2,1132,1078,142,142,11,142.0,0.765685019206146,0.09859154929577464,0.9366197183098591,0.07042253521126761,0.04770318021201413,1.6363636363636365
